"Seed","CC_Size","TA_CC","TA_HC","TA_HC_Prop","TA_HC_IPF","TA_HC_Both"
12,500,-15.184,-14.6898,-15.0698435284516,-15.2633,-15.1451579878776
12,400,-15.18625,-14.5472,-14.7764911789161,-15.0225,-15.0305900427056
12,300,-15.41,-14.5118,-14.7020489256801,-15.2588,-15.0867352559427
12,200,-15.3385,-14.3946,-14.6496325942277,-15.5416,-15.2249316780608
12,100,-15.024,-14.2447,-14.5309111347588,-15.1554,-14.6815616228524
13,900,-14.9224444444444,-14.7848,-14.883887975067,-15.6157,-15.5293640640079
13,800,-14.9265,-14.6945,-14.9683737036737,-15.6283,-15.7004514646963
13,700,-14.9721428571429,-14.659,-14.997949101059,-15.4657,-15.6726792010068
13,600,-15.0118333333333,-14.5906,-15.0464640180305,-15.4665,-15.8777935429927
13,500,-15.1702,-14.5999,-15.0655975933505,-15.8212,-15.9173661951387
13,400,-15.18675,-14.4114,-15.0717240997332,-15.7898,-16.0558665479611
13,300,-15.1433333333333,-14.2393,-14.9311219916471,-15.7077,-16.0846409390468
13,200,-15.1695,-14.147,-14.8505235484891,-15.5764,-15.8813045855733
13,100,-15.05,-14.094,-14.8298567525203,-15.8057,-15.7298518012835
14,900,-14.4703333333333,-14.3764,-14.528109470105,-15.4327,-15.6254759916623
14,800,-14.39775,-14.1971,-14.3405745845737,-15.0499,-15.2972231217327
14,700,-14.361,-14.0093,-14.2786376912624,-14.8571,-15.1705661828976
14,600,-14.3145,-13.8652,-14.1255946946137,-14.751,-14.957541981416
14,500,-14.242,-13.7335,-14.0300032104116,-14.8282,-14.9054155788609
14,400,-14.06375,-13.614,-13.9478026245193,-14.7427,-14.7157967120924
14,300,-14.169,-13.6035,-13.9745010282372,-14.6306,-14.6766893828493
14,200,-13.9125,-13.4934,-13.7336942204258,-14.84,-14.584050102631
14,100,-13.894,-13.408,-13.6233576509783,-14.7825,-14.5960329284318
15,900,-14.9663333333333,-14.8102,-14.9320677402274,-14.7971,-14.7894155043048
15,800,-14.949375,-14.7082,-14.8596220288938,-14.7451,-14.8789610243355
15,700,-14.9862857142857,-14.6775,-14.7995323413426,-14.8027,-14.6869295588788
15,600,-15.009,-14.5873,-14.8994173979591,-14.8133,-15.0955350155853
15,500,-15.2002,-14.5179,-14.8916341632696,-14.709,-15.0938988118828
15,400,-15.161,-14.3598,-14.7507134047503,-14.9356,-14.68545435336
15,300,-15.0793333333333,-14.1654,-14.533478356384,-14.6975,-14.5033993325972
15,200,-15.002,-14.0225,-14.5377887354616,-14.4068,-14.784589441671
15,100,-14.926,-13.8593,-14.3653259853831,-14.2116,-14.3503355259961
16,900,-15.3497777777778,-15.2771,-15.4240746293799,-15.9679,-15.8283013547333
16,800,-15.406625,-15.3538,-15.4813823527642,-16.3327,-16.0694733520411
16,700,-15.4162857142857,-15.2736,-15.5046503280252,-16.1139,-16.1692478240479
16,600,-15.3215,-15.1459,-15.5093663906845,-16.3201,-16.3885395054714
16,500,-15.14,-15.0038,-15.4322564572057,-16.2168,-16.0429734292829
16,400,-15.06725,-14.9755,-15.4179302330516,-16.2142,-15.9766495179406
16,300,-15.2363333333333,-14.9381,-15.5180141827243,-16.3054,-16.228144167637
16,200,-15.1085,-14.8701,-15.606580939828,-16.2389,-16.3878117177454
16,100,-14.919,-14.8852,-15.6150067627731,-16.0529,-16.7508195633628
17,900,-14.431,-14.5014,-14.501423094338,-14.6542,-14.8085138569907
17,800,-14.47325,-14.5626,-14.5576988131747,-14.901,-14.6876320963496
17,700,-14.4638571428571,-14.6474,-14.600849772041,-15.185,-15.2912204695355
17,600,-14.5301666666667,-14.7328,-14.6315748365737,-15.3526,-14.9781230860607
17,500,-14.6502,-14.8275,-14.7296000269795,-15.3616,-15.3910902054031
17,400,-14.549,-14.7857,-14.6964256042491,-15.4884,-15.187942608718
17,300,-14.667,-14.8491,-14.8570240495547,-15.7313,-15.124528915551
17,200,-14.523,-14.8095,-14.578437723591,-15.6259,-15.0124090951546
17,100,-13.993,-14.7665,-14.3788741107324,-15.305,-14.8668222453805
18,900,-14.9758888888889,-14.9537,-15.0563622331265,-15.6082,-15.7907210910326
18,800,-14.942375,-14.9552,-14.8084005480327,-15.6532,-15.497797759007
18,700,-15.0302857142857,-15.0812,-14.987682899873,-15.8738,-15.589985252584
18,600,-15.0766666666667,-15.0425,-15.0144497650603,-15.812,-15.5760623834464
18,500,-15.0792,-15.038,-14.9889101511577,-15.7714,-15.9182977927802
18,400,-14.94975,-14.9718,-14.8940717708447,-15.7895,-15.6664365843195
18,300,-14.754,-14.8475,-14.8186179837362,-15.7738,-15.4970608478058
18,200,-14.9485,-14.8873,-14.8597765381925,-15.9051,-15.9672630394868
18,100,-15.262,-14.8445,-14.9031586132662,-15.847,-15.9844394420885
19,900,-14.5417777777778,-14.5531,-14.5547809390768,-14.8059,-14.7226659810824
19,800,-14.559375,-14.6267,-14.6652970008052,-15.0951,-14.3914565762411
19,700,-14.5277142857143,-14.5963,-14.7106762053461,-15.1002,-14.7575313756595
19,600,-14.5941666666667,-14.6719,-14.8195018939839,-15.3507,-15.2165878311749
19,500,-14.6254,-14.7603,-14.8760799577105,-15.39,-15.1814902323612
19,400,-14.66075,-14.7443,-14.7159411158767,-15.5317,-15.1276588048105
19,300,-14.6996666666667,-14.8418,-14.8330603071628,-15.7209,-15.4150473491168
19,200,-14.4655,-14.6875,-14.7004821275292,-15.5972,-15.3183790794984
19,100,-14.436,-14.8945,-15.0228055997864,-15.7857,-15.393216956213
20,900,-15.3667777777778,-15.3054,-15.3591497627185,-16.1436,-15.9726802970399
20,800,-15.40125,-15.2542,-15.3925290620248,-16.1468,-16.3214756817781
20,700,-15.3741428571429,-15.1946,-15.2782781707818,-15.9641,-16.0563210484962
20,600,-15.4015,-15.1142,-15.34463855871,-15.8852,-16.3566835977571
20,500,-15.4074,-15.0634,-15.4106976729707,-15.9247,-16.1451200988881
20,400,-15.49875,-14.9852,-15.439288343955,-15.8652,-16.1577266307335
20,300,-15.5193333333333,-14.9224,-15.4581470335974,-15.7323,-16.5867381203612
20,200,-15.589,-14.8029,-15.430089994025,-15.6995,-16.4489854298571
20,100,-15.772,-14.726,-15.5410440737923,-15.7536,-16.4883730145725
