"Seed","CC_Size","Var","Level","LDM_TA","LDM_CC","LDM_HC_Prop","LDM_HC_IPF","LDM_TA_Prop_IPF","LDM_HC_Prop_IPF"
1,1000,"Gender","Female",0.726189676183882,0.856454871021784,0.856454871021784,0.0172899632008221,0.01244345885159,0.0172899632008221
1,1000,"Gender","Male",0.726189676183882,0.856454871021784,0.856454871021784,0.0172899632008223,0.0124434588515899,0.0172899632008223
1,1000,"Age_Group","40-59",0.422440263348624,0.422440263348624,0.422440263348624,0.000841922058019884,0.0332402551669409,0.000841922058019884
1,1000,"Age_Group","59+",0.422440263348624,0.422440263348624,0.422440263348624,0.000841922058020065,0.0332402551669406,0.000841922058020065
1,1000,"Race_or_Ethnicity","NH White",0.591670669304344,0.534792156861956,0.534792156861956,0.0116522139899116,0.00512526831040094,0.0116522139899116
1,1000,"Race_or_Ethnicity","NH Black",1.20874395551913,1.18074242469267,1.18074242469267,0.00810601792415649,0.0166676306583348,0.00810601792415649
1,1000,"Race_or_Ethnicity","NH Asian",0.856230905560711,1.75365564445962,1.75365564445962,0.00867765889905344,0.0115644205771006,0.00867765889905344
1,1000,"Race_or_Ethnicity","Hispanic",0.102499279318852,0.132783212655383,0.132783212655383,0.0431308581083568,0.0270135275157461,0.0431308581083568
1,1000,"Race_or_Ethnicity","Other",2.52197411660545,2.81065970143447,2.81065970143447,0.0253791586774969,0.0297269393277507,0.0253791586774969
1,750,"Gender","Female",0.726189676183882,0.837334954509942,0.842172502902681,0.00776693950562628,0.01244345885159,0.00410323164054468
1,750,"Gender","Male",0.726189676183882,0.837334954509942,0.842172502902681,0.00776693950562647,0.0124434588515899,0.00410323164054455
1,750,"Age_Group","40-59",0.422440263348624,0.361153403277919,0.393233547156774,0.00756699865650002,0.0332402551669409,0.00230271820844052
1,750,"Age_Group","59+",0.422440263348624,0.361153403277919,0.393233547156774,0.00756699865650025,0.0332402551669406,0.0023027182084402
1,750,"Race_or_Ethnicity","NH White",0.591670669304344,0.555152492735514,0.543322580028094,0.00313772137585036,0.00512526831040094,0.00963457537893577
1,750,"Race_or_Ethnicity","NH Black",1.20874395551913,1.20564721081719,1.19342870725348,0.0267461341811765,0.0166676306583348,0.0130347350468426
1,750,"Race_or_Ethnicity","NH Asian",0.856230905560711,2.31628802593447,2.11667430055069,0.00110774346384816,0.0115644205771006,0.00228746497688504
1,750,"Race_or_Ethnicity","Hispanic",0.102499279318852,0.149305523029696,0.132111629535414,0.00327482244060324,0.0270135275157461,0.0275006479745931
1,750,"Race_or_Ethnicity","Other",2.52197411660545,2.52197411660545,2.45047262781688,0.0327889929721249,0.0297269393277507,0.0139961367921579
1,500,"Gender","Female",0.726189676183882,0.834403260824115,0.820776258815059,0.0150512722984263,0.01244345885159,0.0140547230460752
1,500,"Gender","Male",0.726189676183882,0.834403260824115,0.820776258815059,0.0150512722984265,0.0124434588515899,0.0140547230460754
1,500,"Age_Group","40-59",0.422440263348624,0.296447783802588,0.368918951244283,0.01926351017929,0.0332402551669409,0.00418578626374236
1,500,"Age_Group","59+",0.422440263348624,0.296447783802588,0.368918951244284,0.0192635101792897,0.0332402551669406,0.00418578626374215
1,500,"Race_or_Ethnicity","NH White",0.591670669304344,0.628042723180982,0.591899630571238,0.0107762395866083,0.00512526831040094,0.00852204696024565
1,500,"Race_or_Ethnicity","NH Black",1.20874395551913,1.27298386519776,1.23198168364302,0.0171012892396359,0.0166676306583348,0.00535923436247836
1,500,"Race_or_Ethnicity","NH Asian",0.856230905560711,1.90881286689828,1.7141167945583,0.000808704596964841,0.0115644205771006,0.0183013958130317
1,500,"Race_or_Ethnicity","Hispanic",0.102499279318852,0.181732944711495,0.147054901436863,0.0373549507563371,0.0270135275157461,0.0177935115788699
1,500,"Race_or_Ethnicity","Other",2.52197411660545,3.21712731589226,2.56375925552996,0.0304717458399825,0.0297269393277507,0.00645761675526993
1,250,"Gender","Female",0.726189676183882,0.932608784556897,0.813813931296599,0.000775186596990585,0.01244345885159,0.00994894284051314
1,250,"Gender","Male",0.726189676183882,0.932608784556898,0.813813931296599,0.000775186596990481,0.0124434588515899,0.00994894284051328
1,250,"Age_Group","40-59",0.422440263348624,0.296447783802588,0.377478846050878,0.00447470509250509,0.0332402551669409,0.0123115650595281
1,250,"Age_Group","59+",0.422440263348624,0.296447783802588,0.377478846050879,0.00447470509250486,0.0332402551669406,0.0123115650595278
1,250,"Race_or_Ethnicity","NH White",0.591670669304344,0.603809687022428,0.573550765247987,0.0107439414801441,0.00512526831040094,0.00861609912786347
1,250,"Race_or_Ethnicity","NH Black",1.20874395551913,1.21801289330113,1.19456506570714,0.0219312074940709,0.0166676306583348,0.0114748656775963
1,250,"Race_or_Ethnicity","NH Asian",0.856230905560711,1.6191166950748,1.4852999539442,0.0181952283432473,0.0115644205771006,0.0107808010103879
1,250,"Race_or_Ethnicity","Hispanic",0.102499279318852,0.200810211562416,0.148670232123777,0.0104852754970853,0.0270135275157461,0.0246902320943499
1,250,"Race_or_Ethnicity","Other",2.52197411660545,2.52197411660545,2.24569533527207,0.00903874373195407,0.0297269393277507,0.00691670295646132
1,0,"Gender","Female",0.726189676183882,Inf,0.72724053002029,0.0117574460042271,0.01244345885159,0.005417771363794
1,0,"Gender","Male",0.726189676183882,Inf,0.72724053002029,0.011757446004227,0.0124434588515899,0.00541777136379411
1,0,"Age_Group","40-59",0.422440263348624,Inf,0.427914613157359,0.00657536372139979,0.0332402551669409,0.00344566223251808
