"Seed","CC_Size","Var","Level","LDM_TA","LDM_CC","LDM_HC_Prop","LDM_HC_IPF","LDM_TA_Prop_IPF","LDM_HC_Prop_IPF"
1,1000,"Gender","Female",0.726189676183882,0.856454871021784,0.856454871021784,0.0172899632008221,0.01244345885159,0.0172899632008221
1,1000,"Gender","Male",0.726189676183882,0.856454871021784,0.856454871021784,0.0172899632008223,0.0124434588515899,0.0172899632008223
1,1000,"Age_Group","40-59",0.422440263348624,0.422440263348624,0.422440263348624,0.000841922058019884,0.0332402551669409,0.000841922058019884
1,1000,"Age_Group","59+",0.422440263348624,0.422440263348624,0.422440263348624,0.000841922058020065,0.0332402551669406,0.000841922058020065
1,1000,"Race_or_Ethnicity","NH White",0.591670669304344,0.534792156861956,0.534792156861956,0.0116522139899116,0.00512526831040094,0.0116522139899116
1,1000,"Race_or_Ethnicity","NH Black",1.20874395551913,1.18074242469267,1.18074242469267,0.00810601792415649,0.0166676306583348,0.00810601792415649
1,1000,"Race_or_Ethnicity","NH Asian",0.856230905560711,1.75365564445962,1.75365564445962,0.00867765889905344,0.0115644205771006,0.00867765889905344
1,1000,"Race_or_Ethnicity","Hispanic",0.102499279318852,0.132783212655383,0.132783212655383,0.0431308581083568,0.0270135275157461,0.0431308581083568
1,1000,"Race_or_Ethnicity","Other",2.52197411660545,2.81065970143447,2.81065970143447,0.0253791586774969,0.0297269393277507,0.0253791586774969
1,750,"Gender","Female",0.726189676183882,0.837334954509942,0.871346418970203,0.00727075837407907,0.01244345885159,0.00749753171194381
1,750,"Gender","Male",0.726189676183882,0.837334954509942,0.871346418970203,0.00727075837407898,0.0124434588515899,0.00749753171194373
1,750,"Age_Group","40-59",0.422440263348624,0.361153403277919,0.113542930154685,0.0105594607547341,0.0332402551669409,0.00440310038143586
1,750,"Age_Group","59+",0.422440263348624,0.361153403277919,0.113542930154685,0.0105594607547342,0.0332402551669406,0.00440310038143604
1,750,"Race_or_Ethnicity","NH White",0.591670669304344,0.555152492735514,0.56077525586193,0.00796393023837047,0.00512526831040094,0.00547588344512256
1,750,"Race_or_Ethnicity","NH Black",1.20874395551913,1.20564721081719,1.15247527500666,0.00383556626264009,0.0166676306583348,0.0221458052731876
1,750,"Race_or_Ethnicity","NH Asian",0.856230905560711,2.31628802593447,1.50410669377464,0.0139694721551789,0.0115644205771006,0.00319319434231556
1,750,"Race_or_Ethnicity","Hispanic",0.102499279318852,0.149305523029696,0.211660559166706,0.0130925864757877,0.0270135275157461,0.0216038333647226
1,750,"Race_or_Ethnicity","Other",2.52197411660545,2.52197411660545,2.32046766874762,0.016768797695147,0.0297269393277507,0.0315180928789773
1,500,"Gender","Female",0.726189676183882,0.834403260824115,0.906708948039084,0.0191792568006773,0.01244345885159,0.0212196154698415
1,500,"Gender","Male",0.726189676183882,0.834403260824115,0.906708948039084,0.0191792568006775,0.0124434588515899,0.0212196154698416
1,500,"Age_Group","40-59",0.422440263348624,0.296447783802588,0.0378152970523462,0.0140966002323876,0.0332402551669409,0.0169500323519843
1,500,"Age_Group","59+",0.422440263348624,0.296447783802588,0.037815297052346,0.0140966002323874,0.0332402551669406,0.0169500323519841
1,500,"Race_or_Ethnicity","NH White",0.591670669304344,0.628042723180982,0.629300258402402,0.00477318536518859,0.00512526831040094,0.0193557206812114
1,500,"Race_or_Ethnicity","NH Black",1.20874395551913,1.27298386519776,1.16414052602744,0.0176616501491625,0.0166676306583348,0.017008435448053
1,500,"Race_or_Ethnicity","NH Asian",0.856230905560711,1.90881286689828,1.0678144590517,0.00983677722492642,0.0115644205771006,0.0138853934584855
1,500,"Race_or_Ethnicity","Hispanic",0.102499279318852,0.181732944711495,0.304428164847698,0.0161623142371289,0.0270135275157461,0.0389734130058488
1,500,"Race_or_Ethnicity","Other",2.52197411660545,3.21712731589226,2.49619510500869,0.0325482565001852,0.0297269393277507,0.00440466351818512
1,250,"Gender","Female",0.726189676183882,0.932608784556897,0.944633648905118,0.0109862247296295,0.01244345885159,0.0190688575509941
1,250,"Gender","Male",0.726189676183882,0.932608784556898,0.944633648905118,0.0109862247296297,0.0124434588515899,0.0190688575509943
1,250,"Age_Group","40-59",0.422440263348624,0.296447783802588,0.13443572486468,0.00523486022694981,0.0332402551669409,0.00292222934764341
1,250,"Age_Group","59+",0.422440263348624,0.296447783802588,0.13443572486468,0.00523486022695006,0.0332402551669406,0.00292222934764365
1,250,"Race_or_Ethnicity","NH White",0.591670669304344,0.603809687022428,0.572030316981171,0.0128783173578673,0.00512526831040094,0.0249159998613227
1,250,"Race_or_Ethnicity","NH Black",1.20874395551913,1.21801289330113,1.07718933277748,0.0080790865240658,0.0166676306583348,0.037382747781391
1,250,"Race_or_Ethnicity","NH Asian",0.856230905560711,1.6191166950748,0.823697228212338,0.0577261478284427,0.0115644205771006,0.0176522780726723
1,250,"Race_or_Ethnicity","Hispanic",0.102499279318852,0.200810211562416,0.307090875536133,0.0613457338515252,0.0270135275157461,0.0177836480372573
1,250,"Race_or_Ethnicity","Other",2.52197411660545,2.52197411660545,2.55126561116103,0.0456593306209078,0.0297269393277507,0.0343223394803113
1,0,"Gender","Female",0.726189676183882,Inf,0.980554854759952,0.0104272171259648,0.01244345885159,0.0218267202942023
1,0,"Gender","Male",0.726189676183882,Inf,0.980554854759952,0.0104272171259647,0.0124434588515899,0.0218267202942025
1,0,"Age_Group","40-59",0.422440263348624,Inf,0.298117647542055,0.00658630833876128,0.0332402551669409,0.0166029767784038
