"Seed","CC_Size","Var","Level","LDM_TA","LDM_CC","LDM_HC_Prop","LDM_HC_IPF","LDM_TA_Prop_IPF","LDM_HC_Prop_IPF"
1,900,"Gender","Female",0.825623573172069,0.997512098429122,0.996182685031333,0.0036778369553212,0.0142316867883374,0.0231854361022888
1,900,"Gender","Male",0.825623573172069,0.997512098429122,0.996182685031333,0.00367783695532114,0.0142316867883374,0.0231854361022887
1,900,"Age_Group","40-59",0.503519582994279,0.626548198029457,0.445162690681767,0.0134888671859206,0.00560846299057182,0.0043111048992089
1,900,"Age_Group","59+",0.50351958299428,0.626548198029457,0.445162690681767,0.0134888671859209,0.00560846299057197,0.00431110489920909
1,900,"Race_or_Ethnicity","NH White",0.444463639521243,0.506161503436502,0.509981565486273,0.0292771985020757,0.00273224835087271,0.0261937879016209
1,900,"Race_or_Ethnicity","NH Black",1.08511116606073,1.11454389886991,1.07590204363713,0.0348402183334773,0.00856597952372986,0.0575851104462019
1,900,"Race_or_Ethnicity","NH Asian",1.75365564445962,1.76183439833214,1.41831598334174,0.0250298719636263,0.0375332099665011,0.00550902138875844
1,900,"Race_or_Ethnicity","Hispanic",0.0922438310109563,0.199423767942686,0.251880275623425,0.032672110637774,0.00270008017886143,0.00352284564471605
1,900,"Race_or_Ethnicity","Other",2.29782604486523,2.8269385878369,2.73899711746717,0.000293549862562559,0.00253756208326026,0.033192924974879
1,800,"Gender","Female",0.825623573172069,0.994837846004483,0.987267724624678,0.01447203658938,0.0142316867883374,0.00155027736626697
1,800,"Gender","Male",0.825623573172069,0.994837846004483,0.987267724624678,0.0144720365893801,0.0142316867883374,0.00155027736626707
1,800,"Age_Group","40-59",0.503519582994279,0.625277027449414,0.355163332186617,0.0241980939211047,0.00560846299057182,0.0330291527372152
1,800,"Age_Group","59+",0.50351958299428,0.625277027449414,0.355163332186617,0.0241980939211044,0.00560846299057197,0.033029152737215
1,800,"Race_or_Ethnicity","NH White",0.444463639521243,0.51119032388343,0.510014544381777,0.0183549308073369,0.00273224835087271,0.0092228312643678
1,800,"Race_or_Ethnicity","NH Black",1.08511116606073,1.11313666492426,1.05605544354108,0.0369965332986344,0.00856597952372986,0.00415105408750225
1,800,"Race_or_Ethnicity","NH Asian",1.75365564445962,1.74030696229434,1.3198489993668,0.207833520061862,0.0375332099665011,0.0390262402160255
1,800,"Race_or_Ethnicity","Hispanic",0.0922438310109563,0.21345569551703,0.27940577321236,0.0296322996951349,0.00270008017886143,0.0181683590647386
1,800,"Race_or_Ethnicity","Other",2.29782604486523,2.96967493209878,2.80863839579866,0.0562054939992414,0.00253756208326026,0.00599533282928029
1,700,"Gender","Female",0.825623573172069,1.00003555058105,0.987404753310428,0.0125822355881146,0.0142316867883374,0.0185868612576621
1,700,"Gender","Male",0.825623573172069,1.00003555058105,0.987404753310428,0.0125822355881148,0.0142316867883374,0.018586861257662
1,700,"Age_Group","40-59",0.503519582994279,0.622786241575269,0.287502736015283,0.0287235910793477,0.00560846299057182,0.00458634056463277
1,700,"Age_Group","59+",0.50351958299428,0.622786241575269,0.287502736015283,0.0287235910793479,0.00560846299057197,0.00458634056463293
1,700,"Race_or_Ethnicity","NH White",0.444463639521243,0.525373700767222,0.519318150074831,0.000250535166743659,0.00273224835087271,0.0100541365857256
1,700,"Race_or_Ethnicity","NH Black",1.08511116606073,1.12039917887421,1.05392207631627,0.0208843106851724,0.00856597952372986,0.00229020683906349
1,700,"Race_or_Ethnicity","NH Asian",1.75365564445962,1.72905414216697,1.27650191070783,0.00406144587552109,0.0375332099665011,0.127219680298618
1,700,"Race_or_Ethnicity","Hispanic",0.0922438310109563,0.230245501624684,0.297828874537462,0.0128738605013428,0.00270008017886143,0.0199223922363941
1,700,"Race_or_Ethnicity","Other",2.29782604486523,3.05604491033372,2.77175317084577,0.0301088513916505,0.00253756208326026,0.0351723944070907
1,600,"Gender","Female",0.825623573172069,0.999263768758219,0.991447353770297,0.00250618567136702,0.0142316867883374,0.00586395199760886
1,600,"Gender","Male",0.825623573172069,0.999263768758219,0.991447353770297,0.00250618567136715,0.0142316867883374,0.00586395199760907
1,600,"Age_Group","40-59",0.503519582994279,0.610388166191889,0.244690984322001,0.00990411387939256,0.00560846299057182,0.0163584101819484
1,600,"Age_Group","59+",0.50351958299428,0.61038816619189,0.244690984322001,0.00990411387939235,0.00560846299057197,0.0163584101819481
1,600,"Race_or_Ethnicity","NH White",0.444463639521243,0.540647225584672,0.512417173506093,0.00415443040098415,0.00273224835087271,0.0147476016662523
1,600,"Race_or_Ethnicity","NH Black",1.08511116606073,1.13066341904933,1.04421758928056,0.0182827586808881,0.00856597952372986,0.00725212171816403
1,600,"Race_or_Ethnicity","NH Asian",1.75365564445962,1.7626903666055,1.25849773470269,0.0432271802546144,0.0375332099665011,0.0299221667464667
1,600,"Race_or_Ethnicity","Hispanic",0.0922438310109563,0.242240088066052,0.295267235186869,0.0548048993245646,0.00270008017886143,0.0566910213817971
1,600,"Race_or_Ethnicity","Other",2.29782604486523,3.01165993102719,2.76825639979434,0.0469090782453091,0.00253756208326026,0.0281845701568265
1,500,"Gender","Female",0.825623573172069,0.991174018805664,0.986541152933593,0.00377127841411558,0.0142316867883374,0.0117585866754284
1,500,"Gender","Male",0.825623573172069,0.991174018805664,0.986541152933593,0.00377127841411548,0.0142316867883374,0.0117585866754286
1,500,"Age_Group","40-59",0.503519582994279,0.602637636094294,0.188192422549348,0.0126518416075509,0.00560846299057182,0.0292934704086981
